HIPPO, 307
-25.5,88.5,31.5
-28.5,88.5,31.5
10.5,85.5,31.5
7.5,94.5,34.5
-10.5,94.5,34.5
-13.5,94.5,34.5
16.5,91.5,34.5
13.5,91.5,34.5
10.5,91.5,34.5
7.5,91.5,34.5
-7.5,91.5,34.5
-10.5,91.5,34.5
-13.5,91.5,34.5
-16.5,91.5,34.5
-19.5,91.5,34.5
-22.5,91.5,34.5
13.5,88.5,34.5
10.5,88.5,34.5
7.5,88.5,34.5
-13.5,88.5,34.5
16.5,91.5,37.5
13.5,91.5,37.5
10.5,91.5,37.5
-13.5,91.5,37.5
-16.5,91.5,37.5
-19.5,91.5,37.5
10.5,88.5,37.5
-19.5,88.5,37.5
-22.5,88.5,37.5
13.5,91.5,40.5
10.5,88.5,40.5
7.5,88.5,40.5
-10.5,88.5,40.5
-13.5,88.5,40.5
-16.5,88.5,40.5
-19.5,88.5,40.5
7.5,85.5,40.5
-13.5,85.5,40.5
-13.5,88.5,43.5
-13.5,85.5,43.5
